agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
RMAX,0,0,-1578.0,-1.0,1578.0,1578.0
RMAX,0,1,-3033.0,-1.0,3033.0,1455.0
RMAX,0,2,-4174.0,-1.0,4174.0,1141.0
RMAX,0,3,-4496.0,-1.0,4496.0,322.0
RMAX,0,4,-4538.0,-1.0,4538.0,42.0
RMAX,0,5,-4553.0,-1.0,4553.0,15.0
RMAX,0,6,-4568.0,-1.0,4568.0,15.0
RMAX,0,7,-4583.0,-1.0,4583.0,15.0
RMAX,0,8,-4598.0,-1.0,4598.0,15.0
RMAX,0,9,-4613.0,-1.0,4613.0,15.0
DOORMAXWithoutPFs,0,0,-345.0,-1.0,345.0,345.0
DOORMAXWithoutPFs,0,1,-360.0,-1.0,360.0,15.0
DOORMAXWithoutPFs,0,2,-393.0,-1.0,393.0,33.0
DOORMAXWithoutPFs,0,3,-418.0,-1.0,418.0,25.0
DOORMAXWithoutPFs,0,4,-433.0,-1.0,433.0,15.0
DOORMAXWithoutPFs,0,5,-448.0,-1.0,448.0,15.0
DOORMAXWithoutPFs,0,6,-463.0,-1.0,463.0,15.0
DOORMAXWithoutPFs,0,7,-478.0,-1.0,478.0,15.0
DOORMAXWithoutPFs,0,8,-493.0,-1.0,493.0,15.0
DOORMAXWithoutPFs,0,9,-508.0,-1.0,508.0,15.0
DOORMAXWithPFs,0,0,-205.0,-1.0,205.0,205.0
DOORMAXWithPFs,0,1,-296.0,-1.0,296.0,91.0
DOORMAXWithPFs,0,2,-311.0,-1.0,311.0,15.0
DOORMAXWithPFs,0,3,-326.0,-1.0,326.0,15.0
DOORMAXWithPFs,0,4,-341.0,-1.0,341.0,15.0
DOORMAXWithPFs,0,5,-356.0,-1.0,356.0,15.0
DOORMAXWithPFs,0,6,-371.0,-1.0,371.0,15.0
DOORMAXWithPFs,0,7,-386.0,-1.0,386.0,15.0
DOORMAXWithPFs,0,8,-401.0,-1.0,401.0,15.0
DOORMAXWithPFs,0,9,-416.0,-1.0,416.0,15.0
